character,nationality
Chloe,USA
Sameer Yogi,India
Shafi,India
Sharda,India
Reva,India
Tracy Samantha Lord Haven,USA
C. K. Dexter Haven,USA
George Kittredge,USA
Sidney Kidd,USA
Macaulay 'Mike' Connor,USA
Liz Imbrie,USA
Seth,USA
Margaret,USA
Dinah,USA
Adam,Earth (no specified country)
Alex,Earth (no specified country)
Captain Benson,Earth (no specified country)
Hector,N/A
Anna Khitrova,British-Russian
Tatiana,Russian
Semyon,Russian
Helen,British
Stepan,Ukrainian
Kirill,Russian
Nikolai Luzhin,Russian
Azim,Kurdish
Stanley Ford,USA
Charles Firbank,USA
Tobey Rawlins,USA
Harold Lampson,USA
Edna,USA
Retired Commissioner Upendra,India
Savitri,India
Madan,India
Maya,India
Surendra,India
Kamla,India
Chander,India
Vandana,India
Mr. Tandon,India
Abdul,India
Gérard Depardieu,France
Sigourney Weaver,USA
Ruth Westheimer,USA
Aema,South Korea
Jean,South Korea
Aema's Husband,South Korea
Friend,South Korea
Sister Mary,Ireland
Gary,Ireland
Aloysius,Ireland
Angela,Ireland
Philomena,Ireland
Hua Mulan,China
General Li,China
Commanding General,China
Paschalis,Greece
Anthoula,Greece
Zoi,Greece
Jake Puloski,USA
Eli Rockwood,USA
Gloria Beaumont,USA
Mile-Away,USA
Next-Week,USA
Jerk-Off,USA
Ears,USA
Smitty,USA
Lance,USA
Sheriff Jack Hubbard,USA
Farmer Baxter,USA
Veronica,USA
Carlos,USA
Mrs. Beaumont,USA
Dr. Stewart McIver,USA
Karen McIver,USA
Dr. Douglas Devanal,USA
Steven Holte,USA
Mr. Capp,USA
Victoria Inch,USA
Regina Mitchell-Smythe,USA
Meg Rinehart,USA
Miss Cobb,USA
Sue Brett,USA
Donna Marton,USA
Ben Marton,USA
President of the United States,USA
Mugsy Evans,USA
Head of the CSA,USA
Anatoly,Russia
Gudvin,Russia
Skif,Russia
Lisa,Russia
Spam,Russia
Luba,Russia
Festival,Russia
Pai,Russia
Taishi Akejima,Unknown
Doctor Xavier,USA
Reporter Tracy,USA
Reporter Lee Taylor,USA
Joan Xavier,USA
Wells,USA
Mary Esher Duffau (Raulito),Argentina
Morris Lessmore,USA
Magical Woman,Unknown
Deepu,India
Kunjoonju,India
Kamala,India
Strawberry Shortcake,USA
Peculiar Purple Pieman,unknown
Tahaan,India
Haba,India
Zoya,India
Idrees,India
Shin Jin-ah,South Korea
Cha Dae-geun,South Korea
Lee Jae-hyeok,South Korea
Jin-ah's Mother,South Korea
In-seok,South Korea
Yoon Mi-ra,South Korea
Murad,unknown
Veena,unknown
Rajkumari,unknown
Kamal Kapoor,unknown
Pradeep,unknown
Ram Singh,unknown
Nirupa Roy,unknown
Raju,unknown
Mangal,unknown
Tara,unknown
Günther Stobanski,Germany
Jerome Ades,Germany
Roland Feldberg,Germany
Susanne Feldberg,Germany
Philip Henrion,Germany
Niklas Michalke,Germany
Bruce Berger,Germany
Ivan Drago,Russia
Ludmilla Drago,Russia
Nicolai Koloff,Russia
Apollo Creed,USA
Rocky,USA
Duke,USA
Adrian,USA
Paulie,USA
Melia Zreiq,Israel
David Ben-Gurion,Israel
Ilan Pappe,Israel
Ronak Kaul,India
Charlie,India
Anurag Kashyap,India
Shonali,India
Gauri,India
Peter Royce Bentley (The Potato Bug),UK
Richard Hudson,USA
Leo,USA
The Man,USA
Becky,USA
Laura,USA
Paul Pena,USA
Kongar-ool Ondar,Tuvan
J. P. Pettigrew,USA
John Fulton,USA
Beatrice,USA
Ernesto,Italy
Lidia,Italy
Harmon Cobb,USA
Snehmoy Chatterjee,India
Miyage,Japan
Sandhya,India
Poltu,India
The Stooges,USA
Convicted Serial Killer (possessing one of the students),USA
Captain Frank Beck,UK
British Troops,UK
Jim,UK
Brian,UK
Georgie,UK
Myra Deauville,USA
Roy Cronin,Canada
Mary (Roy's mother),UK
Janet (Roy's sister),UK
Thor,Asgardian
Loki,Asgardian
Jarnsaxa,Asgardian
Paul Ashworth,UK
Sarah Hughes,UK
Odile Deray,France
Simon Jérémi,France
Serge Karamazov,France
Patrick Bialès,France
The Captain,unknown
Tom,unknown
Jerry,unknown
Dr. Bill Cortner,USA
Jan Compton,USA
Joe Rico,USA
Albert Mendoza,USA
Martin Ferguson,USA
Captain Nelson,USA
James 'Duke' Malloy,USA
Big Babe Lazick,USA
Nina Lombardo/Angela Vetto,USA
Teresa Davis,USA
Tony Vetto,USA
"Captain Edward W. Hall, Jr.",USA
"Colonel Edward W. Hall, Sr.",USA
Aggie Hall,USA
Major Sam Moulton,USA
Captain John Miller,USA
Lt. Col. Frank Wasnick,USA
D'Artagnan,France
Milady de Winter,France
Count de Rochefort,France
Captain de Treville,France
Athos,France
Porthos,France
Aramis,France
Constance,France
Cardinal Richelieu,France
Queen Anne,England
Duke of Buckingham,England
Martin,Lithuanian
Tateh Cuda,Lithuanian
Christine,American
Mrs. Santini,American
Jim Maddison,USA
Louise Maddison,USA
Rick,USA
Tony,USA
Ruby,USA
Lupelta,Congo
Captain Paul Dale,USA
Amy,USA
Matthew Starr,USA
Ollie,Australia
Pat,Australia
Jill,Australia
Dr. Sarah,Canada
Father Bruno,Italy
Maya,India
Country Doctor,India
Charles Bind,UK
Cinderella,Unknown
Fairy Godmother,Unknown
Prince Charming,Unknown
Gu Manzhen,China
Gu Manlu,China
Xu Shuhui,China
Shen Shijun,China
Zhu Hongcai,China
Shi Cuizhi,China
Ben Shockley,USA
Gus Mally,USA
Corrupt Commissioner Blakelock,USA
Maynard Josephson,USA
Garfield,fictional
Odie,fictional
Arlene,fictional
Jon,fictional
Ramón,fictional
Michael,USA
Cathy,USA
Lina,France
John,USA
Brother,USA
Former Liberal Turned Investment Banker,USA
Old Friend,USA
Preetam,India
Shamil Khan,Pakistan
Joseph Stalin,Soviet Union
Joan,Australia
Kiki,France
Victor Randall,USA
Paulette Vaile,USA
Ox,Norwegian
Hogs,Norwegian
Mary,Israeli
Joseph,Israeli
FBI Special Agent Ellen 'E. Z.' Williams,USA
Juan Ruiz 'El Fuego' Escarzaga,USA
Frank Hubbard,USA
Supreme Court Justice June McPherson,USA
Soo-hyun,South Korea
Matty Dean,USA
La Miranda,USA
Bostonia,USA
Vinnie,USA
Ethan,USA
Laura Antonelli,Italy
Terence Stamp,UK
Marcello Mastroianni,Italy
Muthiah,India
Ramalingam,India
Ramanathan,India
Ramalingam's Wife,India
Wile E. Coyote,fictional
Road Runner,fictional
Sharon Ferris,USA
Nikki,USA
Mary Grand,USA
Jessica Dintruff,USA
Bill Grand,USA
Susan Carey,USA
Brian Carey,USA
Robert Urich,USA
The Married Woman,USA
The Dying Millionaire,USA
Chavez,Mexico
Rosa,Mexico
Emily,England
John,England
Daniel O'Grady,Ireland
Leprechaun,Ireland
J.D. Redding,USA
Tory,USA
Nathan Murphy,USA
Ozzie Jones,USA
Alex,USA
Inder Saxena,India
Prakash,India
Daya Shankar Sharma,India
Rama,India
Station Master Nandalal,India
Nancy (Dr. Love),USA
Mickey,USA
Eve,USA
Jerry Jones,USA
Sgt. McGee,USA
Pvt. Eddie Dibble,USA
Johnny,USA
Johnny's erstwhile fiancée,USA
President Roosevelt,USA
Athidhi/Sunil,India
Kaiser/Ajay,India
Amrita,India
MLA,India
Spanky,n/a
Spanky's father,n/a
Burglar,n/a
Stymie,n/a
Main Women,India
Bernie,Denmark
Winnie,Denmark
Gary Burger,USA
Larry Clark,USA
Kwong,unknown
Kwong's father,unknown
Kwong's stepmother,unknown
Eccentric Old Man,unknown
Thai,Vietnam
Linh,Vietnam
Trang,Vietnam
Mai Chau,Vietnam
Quyen,Vietnam
Huynh Phuong,Vietnam
Sakichi,Japan
Ishimatsu,Japan
Genshichi,Japan
Oyae,Japan
Manabe,Japan
Bill Snibson,UK
Sally,UK
Sheriff Roy Childress,USA
Michael McCord,USA
Judge J.A. Hooker,USA
Maggie,USA
Ashwin,India
Renuka 'Renu',India
Saraswathi 'Saro',India
Aalavandhan,India
Vasanthan Perumal,India
Yogeswaran 'Yogi',India
Kadhir,India
Chu Tao,China
Inspector Man,China
Ghani,unknown
Khan,India
Indu,unknown
Pawan Kalyan (Balu),India
Nayudamma,India
Jack Woods,USA
Kathleen Fitzpatrick,Ireland
R,unknown
Noma,unknown
Cyon,unknown
Ria,unknown
Meryem,Turkey
Cemal,Turkey
Irfan,Turkey
Captain Jack,British
Admiral Smith,British
Dr. Harris,British
Col. Ryan Beckett,USA
Julie,USA
Kellaway,USA
Faith,USA
Alex,unknown
Sarah,unknown
Therapist,unknown
Alex's Father,unknown
James Bond,Britain
Ernst Stavro Blofeld,Unknown
Tiffany Case,USA
Mr. Wint,Unknown
Mr. Kidd,Unknown
Felix Leiter,USA
Willard Whyte,USA
Padmasiri (Padme),Sri Lanka
New Inspector,Sri Lanka
Rajeeva,India
Keshava,India
Chakrapani,India
Rachutappa,India
Somu,India
Vicky,India
Rajesh,India
Rangadu,unknown
Janaki,unknown
Bhupati,unknown
Bhushanam,unknown
Radha,unknown
David Carr,Great Britain
Maite,Spain
Bernard,France
Blanca,Spain
Paul Cleveland,USA
Georgia,USA
Marshal,USA
Charles Bind,UK
Lord Dangerfield,UK
Carlotta Muff-Dangerfield,UK
Lucifer Orchid,USA
Ultra One,unknown
Kenan,Turkey
Prosecutor,Turkey
Doctor,Turkey
Victim's Son,Turkey
Victim's Wife,Turkey
Chester Kent,USA
Narcissa,unknown
"Baroness Helen, Lady Port-Huntley",unknown
Fyodor Kent,Canada
Roderick Kent,Serbia
Striker,foreign
Margaret,USA
Jimmy,USA
Adrian,USA
Vincent,USA
Paul,USA
Johann Hoffman,Germany
Sylvia,USA
Katherine,USA
Bo,Not specified
Bik Lin,Not specified
Michael,Not specified
Wing,Not specified
Ching,Not specified
Siu Mo,Not specified
Ryan,Not specified
Vincent,Not specified
Joe,Not specified
Mon,Not specified
Shaimak Davar,India
Eads,USA
Lola,USA
Tom,USA
Debbie King,USA
Federico Fellini,Italy
Giulietta Masina,Italy
Donald Sutherland,USA
Alain Cuny,Italy
Nanni Moretti,Italy
Italo Calvino,Italy
Roberto Benigni,Italy
F. X. Feeney,USA
Oliver,unknown
Dodge,unknown
Craftsmen,Moroccan
Tourists,Various
John Tremont,USA
Jake Tremont,USA
Billy,USA
Annie,USA
Mario,USA
Doctor Santana,USA
Doctor Chad,USA
Molla,Turkey
Frank,USA
Freddy,USA
Burt Wilson,USA
Tina,USA
Spider,USA
Chuck,USA
Casey,USA
Scuz,USA
Suicide,USA
Ernie,USA
Colonel Glover,USA
Daffy Duck,USA
Bugs Bunny,USA
Playboy Penguin,fictional
Porky Pig,USA
Priscilla Pig,USA
Egghead Jr.,fictional
Henery Hawk,fictional
Barnyard Dawg Jr.,fictional
Sylvester The Investor,fictional
Tasmanian Devil,fictional
Johnny Guitar,USA
David Wozniak,USA
Policeman O'Halloran,Irish
Venu,India
Arthi Panicker,India
Damayanti,India
Dick Bennett,USA
Gail Strong,USA
Bill Edwards,USA
Baron Hayygard,fictional
Jack Carter,USA
Fanny Brawne,UK
John Keats,UK
Charles Brown,UK
Abigail,UK
William Gordon,USA
Joel Carter,USA
John Carter,USA
William Brennan,USA
Olivia Karloff,Germany
Captain Nicholas Nieterstein,Germany
Ambassador Gregory,Russia
Dr. Anand,India
Prem,India
Clive Peacock,UK
Laurie Skreslet,Canada
Prue,UK
Ag,UK
Stella,UK
Philip,UK
Mithun Chakraborty,India
Rati Agnihotri,India
Surinder Kaur,India
Dina Pathak,India
Jagdeep,India
Teacher,Unknown
Young Woman,Unknown
Young wife,not mentioned
Italian Army deserter,Italy
Fanatical local Fascist leader,Italy
Seelabathi,India
Jeevan,India
Sumangala,India
Michael Clayton,USA
Arthur Edens,USA
Karen Crowder,USA
Gene (Michael's brother),USA
Marty Bach (Michael's boss),USA
Robert Prescott (hitman),USA
Ganga,India
Arjun,India
Kishorilal,India
Rajiv,USA
Scott Helveston,USA
Jerry Zovko,USA
Tony Johnson,USA
Steve Hullet,USA
Eric Lomax,British
Patti,British
Takashi Nagase,Japanese
Sarah Palin,USA
Jane Dobson,Dutch
Pumaman (Tony Farms),USA
Er Dong,Chinese
Er Dong's Mother,Chinese
Chang'e,Chinese
Heroic Cop,USA
Betsy,USA
Betty,fictional
Dennis Randall,USA
Potiya Sawant,India
Anatole,France
Arthur,France
The Brain,UK
Tarzan,England
Jane,England
Jack/Korak,England
Ivan Paulovich,Russia
Meriem,France
Gopal,India
Latha,Singapore
Chitra,India
Paul Hegstrom,USA
Judy,USA
Beth French,USA
Mandy Lane,USA
Dylan,USA
Emmet,USA
Red,USA
Chloe,USA
Bird,USA
Garth,USA
Jake,USA
Marlin,USA
James,India
Mr. White,India
Krishnamurthy,India
Soundara Pandian,India
Aishwarya,India
Ramamurthy,India
Erin Brockovich,USA
Edward L. Masry,USA
Jim Ackland,England
Jenny Carden,England
Molly Newman,England
Wilcox,England
Mr. Peachy,England
Police Inspector Godby,England
Colonel David 'Mickey' Marcus,USA
John Wayne,USA
Yul Brynner,unknown
Frank Sinatra,USA
Kang Chul-jung,South Korea
Lee Won Sool,South Korea
Rawdon,unknown
Miranda,unknown
Quincey,unknown
Paula,unknown
Sam,unknown
Kimberly,unknown
Jack,unknown
Philippe,French
Harry Morgan,USA
Duncan,USA
Leona Charles,USA
Lucy,USA
Wesley Park,USA
Nisi,USA
Mickey,USA
Aging Millionaire,USA
Beverly Hills Butler,USA
Mike Manadoro,Italian-American
Tony,Italian-American
Kathy Popovich,USA
Gina,Italian-American
Johnny Barrett,USA
Exotic-dancer Girlfriend,USA
Sheriff Tod Shaw,USA
Dan Carney,USA
Jud,USA
Pidge,USA
Ellen Benson,USA
Pop Benson,USA
Jerzy,Earth
Marek,Earth
Priests,Unnamed Planet
Szerns,Unnamed Planet
Computer Expert,unspecified
Deranged Police Officer,unspecified
The Gang Member,unknown
Police Investigators,unknown
Franz Hessel,Germany
Josh Morgan,USA
Jodie Tatum,USA
Captain Robert Jason Salbo,USA
Esther,Yugoslavia
Glenn,USA
Unnamed first character,Yugoslavia
Unnamed second character,Yugoslavia
Rival rower,Yugoslavia
Esther's Father,Yugoslavia
Bean Bunny,Muppet
Lugsy,Muppet
Jordan Landa,Guamanian and Jewish
Harvard Professor,USA
Perfect Guy,Latino/Jewish
Leo San Juan,Mexico
Kika,Mexico
Beto,Mexico
Llorona,Mexico
Padre Tello,Mexico
Radha,India
Masterji,India
Jip,Wales
Koop,Wales
Nina,Wales
Lulu,Wales
Moff,Wales
Betty Boop,USA
Little Jimmy,USA
Alipang,Filipino
Colonel Hatch,USA
Captains Manning,USA
Hartley,USA
Lieutenants McCool,USA
Lieutenants Larsen,USA
Lieutenant Canavan,USA
Padre Rafael,Filipino
Miguel,Filipino
Datu,Filipino
Lieutenant Yabo,Filipino
Goku,N/A
Krillin,N/A
Gohan,N/A
Chi-Chi,N/A
Turles,Saiyan
Piccolo,N/A
Reinette,France
Mirabelle,France
Waiter,France
Art Dealer,France
Sakura,Japan
Aiko,Japan
Yuki,Japan
Terry O'Neill,USA
Johnnie Aysgarth,unknown
Lina McLaidlaw,unknown
General McLaidlaw,unknown
Captain Melbeck,unknown
Beaky,unknown
Isobel Sedbusk,unknown
Gaylord Esterbrook,USA
Linda Paige,USA
Amanda Swift,USA
Philo,USA
Jack Goldwater,USA
Lady Magdalene,unknown
Basil,UK
Frederick,UK
John Mannion,UK
Julia Sherwin,UK
Clara,UK
Erich Becker,East Germany
Dr. Jadenburg,East Germany
Hanna,West Germany
Harry Korb,East Germany
Arjun Kapoor,India
Urvashi,India
Yashwant Deshmukh,India
Charlie Bartlett,USA
Principal Nathan Gardner,USA
Murphy Bivens,USA
Susan Gardner,USA
Kip Crombwell,USA
Counterfeiter,Unknown
Daughter,Unknown
Secret Service Agent,Unknown
Chan Wing-yan,Hong Kong
Lau Kin-ming,Hong Kong
Superintendent Wong Chi-shing,Hong Kong
Dr. Lee Sum-yee,Hong Kong
Mary,Hong Kong
Inspector Cheung,Hong Kong
John Klein,USA
Mary,USA
Gordon Smallwood,USA
Connie Mills,USA
Indrid Cold,Unknown
Alexander Leek,USA
Tarzan,Australia
Kang Yu-jin,South Korea
Mi-ok,South Korea
Narasimha,India
Queen,India
Villain,India
Jane,USA
Joey,USA
Billie,USA
Caldwell,USA
Gennadiy Kozodoyev,Soviet Union
Semyon Gorbunkov,Soviet Union
Militsiya Captain,Soviet Union
Raj,India
Priya,India
Dr. Reddy,India
Union Carbide Executives,USA
Kaliyappan,Travancore
Hangman's Son,Travancore
Jailer,Travancore
Lee Woods,Norwegian
Dosmo Pizzo,Italian
Roy Foxx,unknown
Becky,unknown
Helga,Norwegian
Allan Hopper,unknown
Susan Parish,unknown
Audrey,unknown
Teddy Peppers,unknown
Wes Taylor,unknown
Captain Harrison,USA
Mr. Linarcos,unknown
Detective Lieutenant Mike Rogo,USA
Linda,unknown
Reverend Frank Scott,unknown
Susan Shelby,unknown
Robin,unknown
Manny Rosen,unknown
Belle Rosen,unknown
James Martin,unknown
Nonnie Parry,unknown
Gu Qing,China
Cuiqiao,China
Victor Frankenstein,fictional
Sparky,fictional
Yogi Bear,USA
Boo Boo Bear,USA
Ranger Smith,USA
Trapper,USA
Yapper,USA
Wally Gator,USA
Snagglepuss,USA
President of the United States,USA
Marmaduke,England
Huggett,England
Margie,Australia
Dimitris,unknown
Bittoo Sharma,India
Shruti Kakkar,India
French Refugee,France
Neighbour,UK
King Cromwell,Fictional
Xusia,Fictional
King Richard,Fictional
Talon,Fictional
Prince Mikah,Fictional
Alana,Fictional
Machelli,Fictional
Mogullen,Fictional
Bugs Bunny,USA
Nature Boy,Australia
Nick Charles,USA
Nora Charles,USA
Police Lieutenant Abrams,USA
Kabir Malhotra,India
Maya,India
Neil Menon,India
Vikram Kapoor,India
OP Ramsay,Thailand
Tisha Khanna,United Kingdom
Samara Shroff,unknown
Sia Agnihotri,India
Iqbal,India
Ted Sturgis,Unknown
Leo Belney,Unknown
Bob Dowdy,Unknown
Felix Jordan,Unknown
Madelyn Corlane,Unknown
Joanna Moss,Unknown
Suzy Doolittle,Unknown
Philip Ashley,UK
Rachel,UK
Norifumi Suzuki,Japan
Tomoe Suzuki,Japan
Ippei Suzuki,Japan
Mutsuko Hoshino,Japan
Ryūnosuke Chagawa,Japan
Hiromi Ishizaki,Japan
Junnosuke,Japan
Nandhu,India
Gayathri,India
Aravind,India
Nick,USA
Nora,USA
Peter Berton,USA
Dr. Bruce Clayworth,USA
Crazy Mary,USA
Edgar Draque,USA
Helena Draque,USA
Asta,USA
Donna Bon Viant,USA
Russell,USA
Josy,unknown
Padma,unknown
John,unknown
Seema,unknown
Bashkirtsev,Russia
Tsiolkovsky,Russia
Igor Kurchatov,Russia
Yuri Gagarin,Russia
Jack,USA
Frank,USA
Flipper Purify,USA
Angela 'Angie' Tucci,USA
Drew,USA
Jerry,USA
Leslie,USA
Cyrus,USA
Mike,USA
Charlie,USA
Jimmy,USA
Paulie Carbone,USA
Gator,USA
Vivian,USA
Orin Goode,USA
Lou,USA
Lucinda,USA
The Good Reverend Doctor,USA
Duessel Dorf,European
Boxer,USA
Paddy Carson,USA
Tanga,unspecified African country
Halyare,unspecified African country
Salam,unspecified African country
Don Jose,Spain
Carmen,Spain
KU Dong-hyuk,South Korea
Roland,France
Corinne,France
Corinne's Father,France
Corinne's Mother,France
Hippie Revolutionaries,mixed
German Zombie Hunters,Germany
Italian Assassin,Italy
Swedish Reporters,Sweden
H. George Wells,UK
David Filby,UK
Dr. Philip Hillyer,unknown
James Filby,UK
Weena,unknown
Morlocks,unknown
Seenu,unknown
Nandini,unknown
Gowri Shankar,unknown
Road Runner (Boulevardius Burnupius),N/A
Wile E. (Dogius Ignoramii),N/A
Peter,Australia
Carla,Australia
Luke,Australia
Li Ming,China
An,China
Botanist,China
Sundaram,India
Saravanan,India
Anjali,India
Karan,India
Brahman Farmer,India
Vaidya,India
Omkar,India
Roopa,India
Gunja,India
Chandan,India
Cheung Hueyin,Hong Kong
Aiko,Japan
Mr. Cheung,China
Krazy Kat,unknown
Indians,unknown
Female Indian,unknown
Bugs Bunny,USA
Elmer Fudd,USA
Yosemite Sam,USA
Daffy Duck,USA
Porky Pig,USA
Adrian Helmsley,USA
Dr. Satnam Tsurutani,India
Carl Anheuser,USA
President Thomas Wilson,USA
Nima,China
Tenzin,China
Dr. Laura Wilson,USA
Jackson Curtis,USA
Yuri Karpov,Russia
Kate,USA
Ethan Mascarenhas,India
Sofia D'Souza,India
Isabel Mascarenhas,India
Neville D'Souza,India
Judge Rajhansmoni,India
Jacob Glaser,USA
Joseph Lesham,USA
Orlando,Italian
Edmea Tetua,Italian
Ildebranda,Italian
Sir Reginald Dongby,English
Grand Duke of Harzock,Prussian
Harrison Lloyd,USA
Gautham Subramaniam,India
Shenba,India
Sarasu,India
Anna,Russia
Aarthi Chinnappa,India
Raghavan Nambiar,India
Bobby 'Gator' McKlusky,USA
Sheriff J.C Conners,USA
Captain Antonio Corelli,Italy
Pelagia,Greece
Mandras,Greece
Candela,Spain
Carmelo,Spain
José,Spain
Lucía,Spain
Tía Rosario,Spain
Herzog,Germany
Nicholas II,Russia
Alexandra,Germany
Alexei,Russia
Olga,Russia
Tatiana,Russia
Anastasia,Russia
Michael Alexandrovich,Russia
Monsieur Gilliard,France
Andrei Denisov,Russia
Yurovsky,Russia
Colonel Joseph L. Ryan,USA
Major Battaglia,Italy
Major Eric Fincham,UK
Captain Oriani,Italy
Major Von Klemment,Germany
Italian youth,Italy
Donald,USA
Hitler,Germany
Tojo,Japan
Göring,Germany
Goebbels,Germany
Mussolini,Italy
Thug 1,Australian
Thug 2,Australian
Young Woman,Australian
Older Woman,Australian
Mike,USA
Little Girl,USA
Angel,Heaven
Jack Carter,USA
Ritchie,USA
Gloria,USA
Doreen,USA
Con McCarty,USA
Fletcher,USA
Audrey,USA
Cliff Brumby,USA
Cyrus Paice,USA
Jeremy Kinnear,USA
Eddie,USA
Geraldine,USA
General Landry,USA
Mitchell,USA
Daniel Jackson,USA
Tomin,Ori Galaxy
Marrick,USA
Adria,Ori Galaxy
Vala,Unknown
Teal'c,Jaffa
Morgan Le Fay,Asgard
Timothy Treadwell,USA
Werner Herzog,Germany
Park Rangers,USA
Lindsay Lohan,USA
Sura,India
Ambar La alias Umbrella,India
Poornima,India
Minister Samuthira Raja,India
Carl,USA
Polly,USA
Chauncey,USA
Jackson,USA
Suzi,USA
Francis Ingram,British
Julie Holden,British
Hilary Cummins,British
Bruce Conrad,British
Donald Arlington,British
Commissario Ovidio Castanio,Italian
Raymond Arlington,British
Ch'oe Yeongjin,Korea
Yun Hyeon'gu,Korea
O Kiho,Korea
Gianni Versace,Italy
Cory Booker,USA
Sharpe James,USA
North,USA
Winchell,USA
Arthur Belt,USA
Judge Buckle,USA
Governor Ho,USA
Mrs. Ho,USA
Graham Greene,USA
Joey Fingers,USA
FedEx Truck Driver,USA
Molly Craig,Aboriginal Australian
Daisy Kadibil,Aboriginal Australian
Gracie Fields,Aboriginal Australian
A. O. Neville,British (in the movie)
Moodoo,Aboriginal Australian
Riggs,Australian
Shanichari,India
Bhinkni,India
landlord's son,India
Danka,Russia
Ksanka,Russia
Valerka,Russia
Yashka,Russia
Rosie Petrofsky,USA
Grace Corrigan,USA
Pam Mitchell,USA
Janis Goldman,USA
Sheriff Matt Doniphon,USA
Gene Autry,USA
Frog Millhouse,USA
Helen Morgan,USA
Jack Shannon,USA
Jim Shannon,USA
Thad Slaughter,USA
Eustace P. Quackenbush,USA
Stephen Manners,Australian
Māori girl (unnamed),New Zealand
Iwa,New Zealand
Hauraki,New Zealand
John Barris,Australian
Barris' wife (unnamed),Australian
Dr. Richard B. Vannacutt,none
Evelyn Stockard-Price,none
Stephen Price,none
Watson Pritchett,none
Jennifer Jenzen,none
Eddie Baker,none
Melissa Margaret Marr,none
Dr. Donald Blackburn,none
Sara,none
Carl Schecter,none
Vellaichamy,India
Sambasiva Iyer,India
Savithri,India
Gayatri,India
Manasa,India
Willow Ufgood,Nelwyns
Sorsha,Nockmaar
General Kael,Nockmaar
Madmartigan,Daikini
Airk Thaughbaer,Galladoorn
Laurel Stevens,USA
Mike,USA
Dandy,USA
Agent Barney,USA
Studio Chief Martin,USA
Sergeant McBride,USA
Daisy Parker,USA
Julie,India
Neil,India
Rohan,India
Mihir Shandilya,India
Speedy Gonzales,Mexico
Zack,USA
Rebecca,USA
Dan Drake,USA
Autumn,USA
Kedar Chatujye,India
Santosh alias Santu,India
Bhombol Bhattacharjee,India
Saraswati,India
Ewart Gray,UK
Owen Jones,UK
Martha,UK
Ted,UK
Pastor John,USA
Simon,Netherlands
Arnout,Netherlands
Victor,Netherlands
Ronnie,Netherlands
Frederique,Netherlands
Doris Mann,England
Albert Potter,England
Constable Slobotham,England
Sergeant Sidney Bung,England
Emily Bung,England
Sockett,England
Valeria,England
Dr. Orlando Watt,England
Dan Dann,England
Ghostly British Seaman,UK
American Navy Members,USA
Johnny Modine,USA
Isaac,USA
Kathy,unknown
Marine Unit,USA
Viet Cong Commander,Vietnam
Soldiers and Commanders,USA
Peter Kuban,Hungarian
Tom,USA
Maggie Summers,USA
Mrs. Hinckley,USA
Eddie,USA
Nancy,USA
Jack Teagarden,USA
Inspector Bailey,USA
Tanya (Bella Zakoyla),USA
Freddie,USA
Donald Strachey,USA
Gina Santer,USA
Dorothy 'Dot' Fisher,USA
Edith Strong,USA
Andrew McWhirter,USA
Timmy Callhan,USA
Flip the Frog,unknown
Roboticist,unknown
Clear Channel Communications,USA
Michael Ward,unknown
Briggs,unknown
Jane,unknown
Neighbour,unknown
Shinchan,Japanese
Mitsy,Japanese
Hiroshi,Japanese
Ruru,Buriburi Island
Mr. Hub,Buriburi Island
Mr. Anaconda,Buriburi Island
Sunchan (Prince Sunchan),Buriburi Island
